"","score_rank","price","Strategy","Multiplayer","Action","COOP","Early_Access","Open_World","Adventure","Indie","Casual","Horror","Puzzle","Platformer","Two_Dimensional","Pixel_Graphics","Point_And_Click","VR","likely_to_succeed"
"22",98,999,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1
"23",67,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"24",50,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"25",77,499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"26",59,499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",52,499,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"28",45,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1
"29",59,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"30",77,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"31",95,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"32",23,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
"33",35,999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",34,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"35",87,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"36",52,5999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"37",77,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"38",93,799,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"39",16,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"40",43,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"41",95,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"42",95,799,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"43",95,1499,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1
"44",39,2999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"45",56,499,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"46",93,499,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"47",77,499,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"48",70,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1
"49",65,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"50",52,1999,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"51",23,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"52",90,1999,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
"53",62,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"54",80,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"55",80,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"56",39,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"57",93,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"58",22,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"59",84,1499,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"60",93,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"61",93,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"62",95,1999,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
"63",77,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1
"64",29,2999,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"65",93,2999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"66",45,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"67",70,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"68",5,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"69",59,2499,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"70",87,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"71",84,1499,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"72",23,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"73",37,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
"74",95,999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"75",87,1999,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
"76",84,1999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"77",77,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
"78",98,1499,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1
"79",11,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"80",19,1999,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
"81",90,999,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0
"82",47,2999,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"83",54,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"85",87,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"86",95,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1
"87",9,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"88",90,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"89",28,3499,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
"90",70,3999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"91",70,3999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"94",70,2999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"96",95,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"97",98,1999,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
"98",80,1999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"99",93,2999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"100",93,1999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"101",95,1499,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1
"102",18,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0
"103",45,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
"104",59,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"105",95,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"106",62,3999,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
"107",62,3999,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
"108",80,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"109",13,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"110",87,2999,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"111",65,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"112",84,1499,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"114",26,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"115",93,1999,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
"116",56,1299,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"117",90,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"118",6,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"119",77,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"120",11,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"121",84,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"122",52,999,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"123",62,5999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"124",62,5999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"125",95,499,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"126",93,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"127",77,1999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"128",98,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"129",73,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"130",41,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"131",77,3999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"132",22,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"133",84,2999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"134",95,1999,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1
"135",56,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
"136",80,1499,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
"137",77,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"138",73,1999,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"139",67,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"140",54,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
"141",70,1499,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"142",62,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"143",98,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
"144",37,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"145",84,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"146",98,3999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"147",73,1499,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1
"150",21,1999,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
"151",95,1999,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0
"152",93,1499,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0
"153",73,999,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1
"154",41,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
"155",70,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"156",56,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
"157",98,999,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
"158",84,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"159",56,1999,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"160",73,999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"161",45,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"162",77,999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"163",73,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1
"164",56,999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",70,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"166",45,5995,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"167",98,1999,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"168",25,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"169",87,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"170",90,2999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"171",98,1499,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"172",54,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"173",95,999,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
"174",7,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1
"175",41,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"176",98,1499,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1
"177",95,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"178",39,99,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"179",73,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"180",43,999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"181",56,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"182",98,1499,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
"183",84,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"184",54,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"185",90,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"186",34,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"187",52,2999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"189",41,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"190",62,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"191",50,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
"193",31,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"194",90,2999,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"195",84,1499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"196",80,1499,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"197",54,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"198",98,2499,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
"199",37,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"200",70,999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"201",41,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"202",34,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"203",77,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
"204",56,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1
"206",98,999,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"207",70,2499,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"208",65,1999,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"209",77,3999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"211",43,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1
"212",67,1999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"213",84,1499,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"214",50,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1
"215",39,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"216",73,3999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"218",50,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"219",52,2499,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
"220",98,2999,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
"221",14,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"223",8,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"224",67,1499,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"225",80,2999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"226",21,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"227",84,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"228",34,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"231",17,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"232",84,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"234",80,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"235",93,799,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1
"236",98,1499,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1
"237",93,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"238",84,999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"239",65,999,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1
"240",52,3999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"241",50,149,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"242",93,1999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"243",35,1999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
"244",95,999,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0
"245",17,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"246",56,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"247",54,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1
"248",93,1999,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1
"249",98,3999,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"250",93,1499,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"251",77,1999,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
"252",80,2999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"253",56,999,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
"254",5,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
"255",87,5999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
"256",41,5999,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
"257",84,5999,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"258",59,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"259",32,1999,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"260",28,1999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"261",28,1999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"262",98,1499,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
"263",7,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1
"264",90,2999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"265",95,1999,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"266",84,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"267",43,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"268",90,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"270",90,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"271",87,1299,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"272",25,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"273",90,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"274",56,799,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"275",67,1499,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"276",80,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"277",95,1499,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0
"278",87,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"279",34,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0
"280",70,999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"281",70,1999,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"282",67,1999,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"283",45,1999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"284",54,1499,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"285",80,999,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0
"286",87,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"287",84,1999,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1
"288",73,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"289",59,999,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"290",54,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
"291",80,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"292",45,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"293",90,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"294",98,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"295",73,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
"296",90,899,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"297",93,999,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"298",87,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"299",93,999,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"300",12,3999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"301",90,999,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1
"302",25,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"303",14,5999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"304",14,5999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"305",29,2999,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
"306",43,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
"307",84,1999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"308",84,1999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"309",45,499,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"310",56,1499,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"311",84,3999,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"312",87,1499,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"313",93,999,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
"314",67,999,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"315",4,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"316",80,1499,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
"317",16,5999,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"318",77,1999,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"319",70,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"320",13,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
"321",39,499,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"322",31,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"323",35,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"324",28,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"325",87,5999,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"326",90,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"327",87,1999,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
"328",67,5999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
"329",43,999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
"330",77,1999,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
"331",80,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"332",90,299,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1
"333",90,1499,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1
"334",31,5999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"335",62,999,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"336",93,1499,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
"337",80,1999,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
"338",34,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"339",45,5999,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"340",73,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
"341",70,699,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"342",90,999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"343",50,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"344",95,399,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"345",90,1499,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
"347",80,599,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"349",62,1999,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"350",80,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"351",80,1999,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
